Date Found,Company,Role,Location,Work Mode,Source,Job URL,Company URL,Fit Score,Route,Why It Fits,Key Needs,Recommended Pitch,Status,Date Applied,Follow-Up Date,Contact Name,Contact URL / Email,Notes,Next Action
2026-06-03,Gorgias,VP Marketing,New York City,Hybrid,Ashby,https://jobs.ashbyhq.com/gorgias/d66c6cb9-9e51-4698-9523-23f279fc5198,https://www.gorgias.com,5,In-house with agency/fractional alternative,"AI commerce company explicitly seeking a leader to elevate story, positioning, merchant education, and industry narrative.","Narrative, positioning, product marketing, AI adoption, mid-market/enterprise education","Lead with conversational commerce category narrative, AI keynote fluency, tier-1 PR, and ability to translate technical AI into market belief.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-03,AirOps,Head of Product Marketing,New York City or San Francisco,Hybrid,Ashby,https://jobs.ashbyhq.com/airops/05036e49-5515-4c1c-974c-f56a5dbe9c17,https://www.airops.com,5,In-house,"Role says own the narrative, connect product releases to bigger story, and shape a new category in AI-era marketing.","Category creation, narrative, positioning, launch strategy, founder/senior leadership partnership","Pitch Peter as the category-narrative builder who can pair AI-era content strategy with executive communications and launch authority.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-03,Pearl Health,"VP, Marketing (Systems & AI)","New York City, Boston, or Remote",Hybrid/Remote,Ashby,https://jobs.ashbyhq.com/pearlhealth/75c61f6a-ac63-47f9-9a05-f644720510b4,https://www.pearlhealth.com,5,In-house or fractional,"Healthtech plus AI-first marketing engine; strong overlap with Peter's AI and HealthTech communications portfolio.","Trust, clarity, demand, executive thought partnership, AI-first marketing systems","Lead with AI/HealthTech PR, trust-building communications, and building belief systems for complex regulated markets.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-03,Rwazi,Head of Marketing,Global,Remote,Ashby,https://jobs.ashbyhq.com/rwazi/73f14658-567a-4083-9f53-de81df239975,https://www.rwazi.com,5,In-house or agency/fractional,"AI data intelligence company seeking full marketing ownership, positioning, product marketing, brand authority, and market intelligence.","Market narrative, category positioning, GTM, brand authority, pipeline","Pitch as full-stack narrative/GTM leader for AI/data company with global strategy and thought-leadership chops.",Needs Peter Info,,,,,,"Live form requires LinkedIn, salary minimum, and start availability; see docs/job-agent/pending-application-fields.md."
2026-06-03,Hammerhead AI,Head of Marketing,Redwood City,On-site,Ashby,https://jobs.ashbyhq.com/hammerhead-ai/60529ef7-4e1d-467f-9b1d-dab4916844c1,https://www.hammerhead.ai,4,Agency/fractional first,"Deep-tech AI infrastructure company needs corporate narrative and technical story translation; on-site requirement makes agency angle attractive.","Market positioning, enterprise narrative, technical-to-business storytelling, demand","Pitch MOW as an immediate narrative and launch partner before or alongside first marketing hire.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; consider separate founder outreach if contact found."
2026-06-03,Qdrant,Head of Marketing,"Berlin, London, Remote - US",Remote,Ashby,https://jobs.ashbyhq.com/qdrant.tech/794cf234-aa6c-4a86-88ff-8fcda654c075,https://qdrant.tech,4,In-house,"AI infrastructure/vector search company; strong AI fit, but may need more open-source/developer marketing emphasis.","Marketing function scaling, AI workflows, campaigns, product/audience proximity","Position Peter around AI infrastructure narrative, tier-1 tech media, and executive/category communications; assess devrel expectations.",Needs Peter Info,,,,,,"Live form requires LinkedIn, work country/city, salary expectation, and visa sponsorship answer; see docs/job-agent/pending-application-fields.md."
2026-06-03,GPTZero,"Head of Marketing, B2C",NYC,Hybrid,Ashby,https://jobs.ashbyhq.com/GPTZero/caa34077-8965-484e-9486-d211e1b47578,https://gptzero.me,4,In-house or agency/fractional,"Category-defining AI trust company with narrative/media DNA; hybrid NYC may be negotiable or better as strategic partner.","Narrative marketing, media strategy, trust/transparency positioning, growth","Lead with AI trust thought leadership, journalist background, tier-1 media, and keynote authority.",Needs Peter Info,,,,,,"Live form requires NYC/Toronto office confirmation and USA/Canada work authorization answer; see docs/job-agent/pending-application-fields.md."
2026-06-03,Maven AGI,Head of Marketing,Boston,Hybrid,Ashby,https://jobs.ashbyhq.com/maven-agi/5854266b-db89-4615-9fca-5b06b52d24f8,https://www.mavenagi.com,4,In-house or agency/fractional,"Enterprise GenAI/customer experience company seeks marketing owner across demand, product marketing, and brand positioning.","Brand positioning, product marketing, demand generation, enterprise AI narrative","Pitch around GenAI narrative, enterprise communications, and founder/executive launch storytelling; clarify Boston hybrid flexibility.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-04,Midstream Health,Head of Marketing,United States,Remote,Ashby,https://jobs.ashbyhq.com/midstream/118acb1d-a82a-4360-a7d8-39d8963a50b9,https://www.midstream.health,5,In-house with fractional alternative,"First senior marketing leader for an AI-native healthcare platform; role explicitly owns market narrative, category creation, executive thought leadership, and product marketing.","Healthcare trust, category narrative, executive thought leadership, product positioning, demand","Lead with Peter's AI and HealthTech narrative work, ability to translate complex systems for executive buyers, and track record building authority through PR and thought leadership.",Needs Peter Approval,,,,,"Ashby listing was indexed as live within the last month; direct interactive verification was blocked by browser security policy.","Review tailored draft and approve application or fractional outreach."
2026-06-04,RAD Amplify,Head of Marketing,United States,Remote,Ashby,https://jobs.ashbyhq.com/rad-intel/147b5b4b-3de6-4c98-95c5-c26554705512/,https://www.radamplify.com,5,In-house or agency/fractional,"LA-based AI marketing and media company needs a CEO-reporting leader to own positioning, category narrative, sales enablement, and thought leadership across brands and agencies.","Brand and revenue narrative, creator economy positioning, thought leadership, sales enablement, lead generation","Position Peter as an agency founder and journalist who can connect AI-powered audience intelligence to a sharper enterprise narrative and credible market authority.",Needs Peter Approval,,,Rick Song,,"RAD Amplify launched as a standalone company in February 2026; current role listing is remote and CEO-reporting.","Review tailored draft and approve direct application or CEO outreach."
